role,login_hour,failed_logins,files_accessed,sensitive_files_accessed,usb_insertions,external_email_count,vpn_usage,working_hours_violation,anomaly_score,insider_threat
2,11,2,21,0,0,0,1,0,0.309,0
3,21,1,14,1,1,2,0,0,0.82,0
2,14,3,24,1,0,1,0,0,0.396,0
0,6,0,13,1,1,3,1,0,0.609,0
1,13,0,19,1,2,3,0,1,0.746,1
2,16,1,11,0,1,2,0,0,0.224,0
2,12,1,17,0,0,2,1,0,0.691,0
2,3,2,11,0,0,4,0,0,0.597,0
2,19,2,20,0,1,1,0,0,0.324,0
2,9,1,21,1,1,1,0,1,0.391,0
0,21,3,20,1,0,1,0,0,0.279,0
3,6,0,24,0,0,0,0,1,0.997,1
2,10,1,13,0,0,3,0,0,0.731,1
2,4,1,17,1,0,3,1,0,0.855,1
2,8,2,19,0,0,2,0,0,0.191,0
1,20,1,17,0,2,4,0,0,0.498,0
2,7,4,14,1,1,2,1,0,0.54,0
2,18,0,16,1,2,3,0,0,0.233,0
1,17,0,13,1,0,1,0,0,0.976,0
2,14,0,12,0,1,2,1,0,0.513,0
2,22,1,20,1,0,0,0,0,0.281,0
1,17,1,23,1,0,2,1,0,0.413,0
2,19,1,12,2,1,0,0,0,0.018,0
2,15,2,22,1,0,5,0,0,0.706,0
1,16,3,22,3,1,1,0,0,0.188,0
2,20,2,13,0,1,0,1,0,0.347,1
2,3,0,7,0,1,4,1,1,0.41,0
3,7,2,10,1,0,3,0,0,0.951,1
0,9,2,21,2,0,2,0,0,0.909,1
2,19,2,22,1,0,1,0,0,0.315,0
2,14,1,14,4,2,3,1,0,0.556,0
2,1,1,9,3,0,4,0,1,0.769,0
2,12,1,24,0,2,2,0,0,0.705,1
2,21,2,17,2,1,3,0,0,0.986,0
2,10,0,19,0,2,2,1,1,0.609,1
3,13,2,18,1,0,1,0,0,0.861,0
3,22,3,10,1,0,4,0,0,0.51,0
2,5,2,20,0,1,2,0,1,0.987,0
2,11,2,19,1,1,0,0,0,0.645,0
2,13,3,21,1,0,2,1,0,0.781,0
2,10,0,15,2,1,2,0,0,0.768,0
2,21,2,20,0,0,1,1,0,0.975,0
0,21,1,8,1,0,4,1,1,0.127,0
2,18,0,16,0,1,3,1,0,0.453,0
2,14,0,13,1,0,2,1,0,0.449,0
0,2,1,19,1,0,4,0,0,0.038,0
2,6,0,13,0,0,0,0,0,0.731,0
1,17,1,9,0,0,6,0,0,0.758,0
2,6,0,15,1,1,2,0,0,0.644,1
0,13,1,13,1,1,1,0,0,0.649,0
2,17,2,14,1,0,2,0,0,0.161,1
2,16,0,19,0,0,2,1,0,0.541,0
2,9,1,15,2,1,1,1,0,0.623,0
2,18,0,12,0,0,1,1,0,0.863,0
2,2,2,8,2,1,5,0,1,0.891,0
2,18,1,17,0,0,2,0,1,0.307,1
2,0,1,17,0,1,3,0,0,0.134,0
0,4,1,19,1,0,3,1,0,0.994,0
2,0,0,12,0,0,1,1,0,0.768,1
0,5,0,16,0,0,1,0,0,0.438,0
1,14,0,16,1,1,5,0,0,0.453,0
0,5,1,17,2,2,3,1,1,0.107,0
2,17,2,17,1,1,0,0,0,0.822,0
2,15,1,15,2,1,3,0,0,0.186,0
2,21,1,15,0,1,3,0,1,0.296,0
2,16,2,9,2,1,2,0,0,0.626,0
1,18,3,13,0,2,6,0,1,0.534,0
1,22,0,18,0,0,3,0,0,0.095,0
3,4,2,14,0,0,2,0,1,0.959,0
2,22,0,14,1,1,5,0,1,0.145,0
3,10,1,21,0,0,1,1,0,0.864,1
2,1,1,14,3,0,3,0,1,0.179,0
2,8,3,21,1,1,0,1,0,0.123,0
2,13,2,14,0,1,1,0,0,0.937,0
0,4,3,15,1,0,2,1,1,0.515,0
2,21,0,27,1,0,0,1,1,0.906,0
2,11,0,11,2,1,5,0,0,0.79,0
2,23,3,13,0,2,3,1,0,0.347,0
2,5,0,18,1,0,2,0,0,0.396,0
2,0,0,17,0,0,4,1,0,0.219,1
2,23,1,19,0,0,1,0,0,0.196,0
2,2,0,14,1,0,0,1,0,0.645,0
2,8,2,13,0,0,2,0,0,0.578,1
3,21,1,17,1,0,1,1,1,0.538,0
3,18,3,15,0,2,5,0,1,0.737,0
2,16,0,21,1,2,3,1,0,0.092,0
2,11,2,14,0,3,1,1,0,0.066,0
3,15,3,10,2,0,1,1,0,0.004,0
3,19,2,15,1,1,3,0,0,0.429,0
0,18,1,14,1,0,2,0,0,0.654,0
3,21,1,19,0,0,3,1,1,0.182,0
1,3,2,10,0,0,3,1,0,0.553,1
2,19,2,19,1,0,1,1,1,0.094,0
3,3,1,27,2,0,0,0,0,0.917,0
2,4,0,16,0,1,1,1,0,0.051,0
2,17,1,12,1,0,3,0,1,0.592,0
3,5,2,12,1,1,0,1,0,0.598,0
0,14,2,11,0,0,4,0,0,0.844,0
2,5,1,19,1,0,4,0,1,0.601,0
0,13,1,11,0,1,1,0,0,0.434,0
2,17,1,14,1,2,3,0,1,0.628,1
2,7,2,15,0,1,1,1,1,0.331,0
3,6,2,19,1,0,0,0,0,0.471,0
2,12,1,13,2,0,2,0,1,0.504,0
2,4,1,20,1,1,1,0,1,0.774,0
0,16,4,20,1,0,3,0,0,0.041,0
3,23,1,15,2,1,1,0,0,0.43,0
3,21,1,16,0,2,2,0,0,0.918,0
2,19,1,17,1,0,2,0,1,0.672,0
2,3,0,17,0,0,1,1,0,0.6,0
2,1,2,18,4,0,1,0,0,0.814,0
2,1,3,17,0,1,2,1,1,0.452,0
2,22,0,13,3,0,1,0,1,0.344,0
2,1,0,11,0,1,1,0,0,0.546,1
3,8,0,15,0,0,2,0,0,0.595,0
1,9,2,19,0,0,4,1,0,0.016,1
2,3,3,13,1,3,5,0,0,0.925,0
2,18,1,12,1,0,1,0,0,0.356,1
0,17,0,13,2,0,1,1,1,0.673,0
2,13,1,13,0,0,3,0,1,0.479,0
2,22,1,24,1,0,6,1,1,0.187,0
2,15,0,10,0,1,2,1,0,0.55,0
2,20,1,10,0,2,1,0,1,0.839,0
3,14,0,13,1,2,1,1,1,0.764,0
3,5,0,12,1,1,3,0,0,0.949,0
2,5,1,15,1,0,1,1,0,0.869,1
2,17,1,13,1,2,0,0,1,0.476,1
3,20,0,18,0,1,1,1,0,0.189,0
1,15,0,19,0,0,2,0,1,0.491,0
