user_id,role,login_hour,failed_logins,files_accessed,sensitive_files_accessed,usb_insertions,external_email_count,vpn_usage,working_hours_violation,anomaly_score,insider_threat
U100000,Employee,11,2,21,0,0,0,1,0,0.309,0
U100001,Manager,21,1,14,1,1,2,0,0,0.82,0
U100002,Employee,14,3,24,1,0,1,0,0,0.396,0
U100003,Admin,6,0,13,1,1,3,1,0,0.609,0
U100004,Contractor,13,0,19,1,2,3,0,1,0.746,1
U100005,Employee,16,1,11,0,1,2,0,0,0.224,0
U100006,Employee,12,1,17,0,0,2,1,0,0.691,0
U100007,Employee,3,2,11,0,0,4,0,0,0.597,0
U100008,Employee,19,2,20,0,1,1,0,0,0.324,0
U100009,Employee,9,1,21,1,1,1,0,1,0.391,0
U100010,Admin,21,3,20,1,0,1,0,0,0.279,0
U100011,Manager,6,0,24,0,0,0,0,1,0.997,1
U100012,Employee,10,1,13,0,0,3,0,0,0.731,1
U100013,Employee,4,1,17,1,0,3,1,0,0.855,1
U100014,Employee,8,2,19,0,0,2,0,0,0.191,0
U100015,Contractor,20,1,17,0,2,4,0,0,0.498,0
U100016,Employee,7,4,14,1,1,2,1,0,0.54,0
U100017,Employee,18,0,16,1,2,3,0,0,0.233,0
U100018,Contractor,17,0,13,1,0,1,0,0,0.976,0
U100019,Employee,14,0,12,0,1,2,1,0,0.513,0
U100020,Employee,22,1,20,1,0,0,0,0,0.281,0
U100021,Contractor,17,1,23,1,0,2,1,0,0.413,0
U100022,Employee,19,1,12,2,1,0,0,0,0.018,0
U100023,Employee,15,2,22,1,0,5,0,0,0.706,0
U100024,Contractor,16,3,22,3,1,1,0,0,0.188,0
U100025,Employee,20,2,13,0,1,0,1,0,0.347,1
U100026,Employee,3,0,7,0,1,4,1,1,0.41,0
U100027,Manager,7,2,10,1,0,3,0,0,0.951,1
U100028,Admin,9,2,21,2,0,2,0,0,0.909,1
U100029,Employee,19,2,22,1,0,1,0,0,0.315,0
U100030,Employee,14,1,14,4,2,3,1,0,0.556,0
U100031,Employee,1,1,9,3,0,4,0,1,0.769,0
U100032,Employee,12,1,24,0,2,2,0,0,0.705,1
U100033,Employee,21,2,17,2,1,3,0,0,0.986,0
U100034,Employee,10,0,19,0,2,2,1,1,0.609,1
U100035,Manager,13,2,18,1,0,1,0,0,0.861,0
U100036,Manager,22,3,10,1,0,4,0,0,0.51,0
U100037,Employee,5,2,20,0,1,2,0,1,0.987,0
U100038,Employee,11,2,19,1,1,0,0,0,0.645,0
U100039,Employee,13,3,21,1,0,2,1,0,0.781,0
U100040,Employee,10,0,15,2,1,2,0,0,0.768,0
U100041,Employee,21,2,20,0,0,1,1,0,0.975,0
U100042,Admin,21,1,8,1,0,4,1,1,0.127,0
U100043,Employee,18,0,16,0,1,3,1,0,0.453,0
U100044,Employee,14,0,13,1,0,2,1,0,0.449,0
U100045,Admin,2,1,19,1,0,4,0,0,0.038,0
U100046,Employee,6,0,13,0,0,0,0,0,0.731,0
U100047,Contractor,17,1,9,0,0,6,0,0,0.758,0
U100048,Employee,6,0,15,1,1,2,0,0,0.644,1
U100049,Admin,13,1,13,1,1,1,0,0,0.649,0
U100050,Employee,17,2,14,1,0,2,0,0,0.161,1
U100051,Employee,16,0,19,0,0,2,1,0,0.541,0
